model_slug,m01_mean_lucid_main_task,m09_mean_lucid_m09_mature_evidence_task,delta_m09_minus_m01,status,evaluation_date_m09_utc,notes
gemma-4-31b-it,0.6479166666666667,,,failed_platform_limited,2026-04-04 00:24:15,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
glm-5,0.8929166666666668,0.660815972222222,-0.2321006944444448,completed,2026-04-03 00:08:33,
gpt-5.4-2026-03-05,0.6611666666666668,0.7090555555555557,0.04788888888888887,completed,2026-04-04 00:26:05,
gpt-5.4-mini-2026-03-17,0.8934166666666669,0.6451319444444447,-0.2482847222222222,completed,2026-04-04 00:25:51,
gpt-5.4-nano-2026-03-17,0.7456666666666667,0.6119999999999999,-0.13366666666666682,completed,2026-04-05 06:40:01,
gpt-oss-120b,0.6526666666666666,,,failed_platform_limited,2026-04-03 17:02:33,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
gpt-oss-20b,0.7225833333333335,,,failed_platform_limited,2026-04-03 17:02:03,Kaggle export: no M09 Numerical_Result; Boolean_Result=False where present. Treated as non-completion under platform/token/cost constraints on the M09 panel; not asserted as a benchmark defect.
qwen3-235b-a22b-instruct-2507,0.6791666666666667,0.7117534722222216,0.03258680555555493,completed,2026-04-04 01:49:54,
qwen3-coder-480b-a35b-instruct,0.8941666666666669,0.7432986111111107,-0.15086805555555616,completed,2026-04-03 01:06:43,
qwen3-next-80b-a3b-instruct,0.6704166666666667,0.654357638888888,-0.01605902777777868,completed,2026-04-04 01:49:41,
qwen3-next-80b-a3b-thinking,0.6504166666666668,0.6518576388888895,0.001440972222222725,completed,2026-04-03 01:06:21,
