episode_id,generation_seed,difficulty_bucket,m01_transport_fixture_id,D,L,O,A,C,lucid_score_episode
ep_symneg_c4967a9531462590,34,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_966ca06a216c52b6,35,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_bb9bf4e13bd63ecb,36,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_5016dc088483a28e,37,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_5417d9672edc9d1c,38,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_5255eb25ae5320ad,39,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_ad1063eff113799b,40,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_eb97aa884ea40644,41,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_25a9ad581e1d9cb4,42,MEDIUM,symneg_42_medium,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_6074cdd2d3bc4057,43,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_ae907ea40a0d85a5,44,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_4425e45e20ef62a2,45,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_e817f7e2e2a4bbc1,46,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_0cc457362ee6b168,47,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_833191125bd60982,48,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_6a11855da3296d5e,49,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_0d2e1df23f191354,50,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_248fe32e2b28dc72,51,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_992ffb6cafb3d08c,52,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_ad064ec1bd0c1da3,53,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_cf26ace912ef5d71,54,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_0f86d5a47dd9a7c1,55,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_2ac5d1e67379ad37,56,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_2c9e4ebf12d29941,57,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_e0f584ae66830e36,58,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_76840e52ecbead74,59,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_d60f1f2f4a38fd00,60,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_c5ea502c7daf3e60,61,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_132df6282acf5a84,62,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_1e5a6323d39d2aab,63,MEDIUM,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_efeee23117bb633d,64,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_5d031e37c7411980,65,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_1fcec0af58e01fa0,66,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_510ff510c2122caf,67,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_bd8a302e9de17f77,68,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_f5dfe9c65c192a95,69,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_37f36a5b8c79e0ff,70,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_b1a0ec436aa49cde,71,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_f29ceb0961581148,72,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_b66d13c809cc82fc,73,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_52bde28e6475ee4e,74,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_53b55290416fc185,75,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_ce74e815164025ee,76,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_b5ba60ced8e7d8be,77,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_c9af9152a8987669,78,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_76bf3dcc84a9823e,79,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_acb3983fb5768956,80,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_f63a6b92ac6c137c,81,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_c118518d40639f3a,82,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_8b75e3c395f7c068,83,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_921391ad32aa3516,84,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_66afe360f79cf71c,85,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_0bd56902c6b0d24a,86,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_2d0e8f1229dcac95,87,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_125a7c4b9d37a558,88,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_fbf233389cd698c5,89,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_ba886be7c23db128,90,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_214a77d5a197d331,91,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_f14b2072fc180a7b,92,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_cdcc8af68da375d0,93,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_dc2a49f8be1c7528,94,HIGH,,1.0,0.0,0.0,1.0,1.0,1.0
ep_symneg_6d0d42c996f9c1ab,200,HIGH,symneg_200_high,1.0,0.0,0.0,1.0,1.0,1.0
