Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
michael1232/lucid-kaggle-community-benchmarks,claude-haiku-4-5-20251001,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,claude-haiku-4-5-20251001,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-6-default,,1,"2026-04-03 18:04:22",0,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-6-default,lucid_main_task,1,"2026-03-31 20:40:41",0.6599166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-6-default,lucid_m09_mature_evidence_task,1,"2026-04-03 18:04:22",,,,False
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-6-default,lucid_m11_probe_p12_task,1,"2026-04-07 01:21:22",0.7255208333333333,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-6-default,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,claude-opus-4-6-default,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-6-default,,1,"2026-04-03 17:03:27",0,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-6-default,lucid_main_task,1,"2026-03-31 20:48:10",0.6766666666666667,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-6-default,lucid_m09_mature_evidence_task,1,"2026-04-03 17:03:27",,,,False
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-6-default,lucid_m11_probe_p12_task,1,"2026-04-07 03:07:30",0.7385833333333333,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-6-default,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-6-default,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-pro-preview,,1,"2026-04-03 17:03:19",0,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-pro-preview,lucid_main_task,1,"2026-03-31 20:40:38",0.6629166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-pro-preview,lucid_m09_mature_evidence_task,1,"2026-04-03 17:03:19",,,,False
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-pro-preview,lucid_m11_probe_p12_task,1,"2026-04-07 02:38:10",0.6621875,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-pro-preview,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-pro-preview,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-31b-it,,1,"2026-04-04 00:24:15",0,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-31b-it,lucid_main_task,1,"2026-04-04 00:24:02",0.6479166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-31b-it,lucid_m09_mature_evidence_task,1,"2026-04-04 00:24:15",,,,False
michael1232/lucid-kaggle-community-benchmarks,gemma-4-31b-it,lucid_m11_probe_p12_task,1,"2026-04-07 02:02:12",0.6746875,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-31b-it,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-31b-it,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-26b-a4b-it,,1,"2026-04-04 01:52:52",0,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-26b-a4b-it,lucid_main_task,1,"2026-04-04 00:24:04",0.6529166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-26b-a4b-it,lucid_m09_mature_evidence_task,1,"2026-04-04 01:52:52",,,,False
michael1232/lucid-kaggle-community-benchmarks,gemma-4-26b-a4b-it,lucid_m11_probe_p12_task,1,"2026-04-07 02:27:56",0.6771875,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-26b-a4b-it,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-4-26b-a4b-it,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-001,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-001,lucid_main_task,1,"2026-03-31 20:48:24",0.6804166666666668,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-001,lucid_m09_mature_evidence_task,1,"2026-04-03 00:09:27",0.6835590277777772,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-001,lucid_m11_probe_p12_task,1,"2026-04-07 03:13:11",0.6906249999999999,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-001,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-001,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-27b-it,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-27b-it,lucid_main_task,1,"2026-03-31 20:48:33",0.6771666666666666,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-27b-it,lucid_m09_mature_evidence_task,1,"2026-04-03 01:06:42",0.7241666666666657,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-27b-it,lucid_m11_probe_p12_task,1,"2026-04-07 03:15:06",0.6508333333333334,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-27b-it,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemma-3-27b-it,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-lite-001,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-lite-001,lucid_main_task,1,"2026-03-31 20:40:46",0.6654166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-lite-001,lucid_m09_mature_evidence_task,1,"2026-04-01 23:57:38",0.6452777777777785,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-lite-001,lucid_m11_probe_p12_task,1,"2026-04-07 00:54:17",0.6928124999999999,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-lite-001,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.0-flash-lite-001,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,lucid_main_task,1,"2026-03-31 20:48:10",0.8991666666666669,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,lucid_m09_mature_evidence_task,1,"2026-04-08 01:49:57",0.8580381944444444,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,lucid_m11_probe_p12_task,1,"2026-04-07 02:52:15",0.9240625000000001,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,lucid_m11_probe_p24_task,1,"2026-04-07 05:50:30",0.9257812500000001,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-20250514,lucid_m11_probe_p48_task,1,"2026-04-07 08:03:20",0.9163541666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-pro,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-pro,lucid_main_task,1,"2026-03-31 20:48:25",0.8929166666666668,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-pro,lucid_m09_mature_evidence_task,1,"2026-04-03 00:09:13",0.8157118055555561,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-pro,lucid_m11_probe_p12_task,1,"2026-04-07 00:58:23",0.8954166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-pro,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-pro,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-flash,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-flash,lucid_main_task,1,"2026-03-31 20:05:45",0.6479166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-flash,lucid_m09_mature_evidence_task,1,"2026-04-01 23:45:03",0.6523784722222229,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-flash,lucid_m11_probe_p12_task,1,"2026-04-07 00:45:56",0.6746875,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-flash,lucid_m11_probe_p24_task,1,"2026-04-07 04:52:32",0.6564583333333331,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-2.5-flash,lucid_m11_probe_p48_task,1,"2026-04-07 07:50:03",0.6669010416666664,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-235b-a22b-instruct-2507,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-235b-a22b-instruct-2507,lucid_main_task,1,"2026-03-31 20:48:47",0.6791666666666667,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-235b-a22b-instruct-2507,lucid_m09_mature_evidence_task,1,"2026-04-04 01:49:54",0.7117534722222216,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-235b-a22b-instruct-2507,lucid_m11_probe_p12_task,1,"2026-04-07 03:18:07",0.6772916666666667,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-235b-a22b-instruct-2507,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-235b-a22b-instruct-2507,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-coder-480b-a35b-instruct,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-coder-480b-a35b-instruct,lucid_main_task,1,"2026-03-31 20:48:51",0.8941666666666669,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-coder-480b-a35b-instruct,lucid_m09_mature_evidence_task,1,"2026-04-03 01:06:43",0.7432986111111107,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-coder-480b-a35b-instruct,lucid_m11_probe_p12_task,1,"2026-04-07 01:43:09",0.8536458333333335,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-coder-480b-a35b-instruct,lucid_m11_probe_p24_task,1,"2026-04-07 05:13:14",0.8460937500000001,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-coder-480b-a35b-instruct,lucid_m11_probe_p48_task,1,"2026-04-07 07:58:46",0.8547916666666667,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,lucid_main_task,1,"2026-03-31 20:48:08",0.8949166666666669,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,lucid_m09_mature_evidence_task,1,"2026-04-08 01:50:02",0.8720833333333334,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,lucid_m11_probe_p12_task,1,"2026-04-07 02:54:32",0.8888541666666668,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,lucid_m11_probe_p24_task,1,"2026-04-07 05:55:13",0.8801770833333334,,,
michael1232/lucid-kaggle-community-benchmarks,claude-sonnet-4-5-20250929,lucid_m11_probe_p48_task,1,"2026-04-07 08:29:13",0.9171354166666669,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3-flash-preview,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3-flash-preview,lucid_main_task,1,"2026-03-31 20:48:23",0.6379166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3-flash-preview,lucid_m09_mature_evidence_task,1,"2026-04-03 00:08:23",0.6623784722222232,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3-flash-preview,lucid_m11_probe_p12_task,1,"2026-04-07 03:43:07",0.6784374999999999,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3-flash-preview,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3-flash-preview,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.2,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.2,lucid_main_task,1,"2026-03-31 20:48:12",0.6512500000000001,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.2,lucid_m09_mature_evidence_task,1,"2026-04-08 01:50:17",0.9006076388888891,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.2,lucid_m11_probe_p12_task,1,"2026-04-07 01:38:34",0.7722916666666668,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.2,lucid_m11_probe_p24_task,1,"2026-04-07 05:05:14",0.7370312500000001,,,
michael1232/lucid-kaggle-community-benchmarks,deepseek-v3.2,lucid_m11_probe_p48_task,1,"2026-04-07 08:21:02",0.9048437500000003,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-instruct,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-instruct,lucid_main_task,1,"2026-03-31 20:48:56",0.6704166666666667,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-instruct,lucid_m09_mature_evidence_task,1,"2026-04-04 01:49:41",0.654357638888888,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-instruct,lucid_m11_probe_p12_task,1,"2026-04-07 01:18:37",0.6934375,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-instruct,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-instruct,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-thinking,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-thinking,lucid_main_task,1,"2026-03-31 20:40:45",0.6504166666666668,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-thinking,lucid_m09_mature_evidence_task,1,"2026-04-03 01:06:21",0.6518576388888895,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-thinking,lucid_m11_probe_p12_task,1,"2026-04-07 03:37:58",0.6753125,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-thinking,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,qwen3-next-80b-a3b-thinking,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-2026-03-05,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-2026-03-05,lucid_main_task,1,"2026-04-03 01:07:16",0.6611666666666668,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-2026-03-05,lucid_m09_mature_evidence_task,1,"2026-04-04 00:26:05",0.7090555555555557,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-2026-03-05,lucid_m11_probe_p12_task,1,"2026-04-07 03:34:35",0.686375,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-2026-03-05,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-2026-03-05,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,glm-5,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,glm-5,lucid_main_task,1,"2026-03-31 20:48:48",0.8929166666666668,,,
michael1232/lucid-kaggle-community-benchmarks,glm-5,lucid_m09_mature_evidence_task,1,"2026-04-03 00:08:33",0.660815972222222,,,
michael1232/lucid-kaggle-community-benchmarks,glm-5,lucid_m11_probe_p12_task,1,"2026-04-07 01:54:40",0.6746875,,,
michael1232/lucid-kaggle-community-benchmarks,glm-5,lucid_m11_probe_p24_task,1,"2026-04-07 05:25:42",0.6746875000000002,,,
michael1232/lucid-kaggle-community-benchmarks,glm-5,lucid_m11_probe_p48_task,1,"2026-04-07 08:08:26",0.7251822916666665,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-flash-lite-preview,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-flash-lite-preview,lucid_main_task,1,"2026-03-31 20:48:29",0.6554166666666666,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-flash-lite-preview,lucid_m09_mature_evidence_task,1,"2026-04-03 01:07:02",0.6427430555555564,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-flash-lite-preview,lucid_m11_probe_p12_task,1,"2026-04-07 03:31:38",0.676875,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-flash-lite-preview,lucid_m11_probe_p24_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gemini-3.1-flash-lite-preview,lucid_m11_probe_p48_task,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-mini-2026-03-17,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-mini-2026-03-17,lucid_main_task,1,"2026-04-03 01:14:10",0.8934166666666669,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-mini-2026-03-17,lucid_m09_mature_evidence_task,1,"2026-04-04 00:25:51",0.6451319444444447,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-mini-2026-03-17,lucid_m11_probe_p12_task,1,"2026-04-07 02:25:55",0.6498541666666666,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-mini-2026-03-17,lucid_m11_probe_p24_task,1,"2026-04-07 05:45:01",0.6637083333333333,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-mini-2026-03-17,lucid_m11_probe_p48_task,1,"2026-04-07 08:20:42",0.6569374999999997,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-nano-2026-03-17,,1,,,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-nano-2026-03-17,lucid_main_task,1,"2026-04-03 01:14:10",0.7456666666666667,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-nano-2026-03-17,lucid_m09_mature_evidence_task,1,"2026-04-05 06:40:01",0.6119999999999999,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-nano-2026-03-17,lucid_m11_probe_p12_task,1,"2026-04-07 02:57:51",0.5812083333333334,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-nano-2026-03-17,lucid_m11_probe_p24_task,1,"2026-04-07 06:03:41",0.6637500000000002,,,
michael1232/lucid-kaggle-community-benchmarks,gpt-5.4-nano-2026-03-17,lucid_m11_probe_p48_task,1,"2026-04-07 08:21:26",0.6489062500000002,,,
